ID,Slug,Nombre Actual,Apellido Actual,Nombre Sugerido,Apellido Sugerido,Razón
153232,"a-de-la-vega","A. de la","Vega","A.","de la Vega","Inicial va con el nombre"
142038,"a-del-campo","A. del","Campo","A.","del Campo","Inicial va con el nombre"
130644,"aida-l-de-munoz","Aída L. de","Muñoz","Aída L.","de Muñoz","Inicial va con el nombre"
150341,"carlota-b-de-bonnefoux","Carlota B. de","Bonnefoux","Carlota B.","de Bonnefoux","Inicial va con el nombre"
156970,"e-de-la-parra","E. de la","Parra","E.","de la Parra","Inicial va con el nombre"
146822,"e-z-de-loureiro","E. Z. de","Loureiro","E. Z.","de Loureiro","Inicial va con el nombre"
107614,"f-de-marinis","F. de","Marinis","F.","de Marinis","Inicial va con el nombre"
156654,"f-del-gallo","F. del","Gallo","F.","del Gallo","Inicial va con el nombre"
153729,"chany-mallo","Chany","Mallo","","Chany Mallo","Sin nombres conocidos → todo a apellido"
155417,"j-de-avila","J. de","Avila","J.","de Avila","Inicial va con el nombre"
155461,"jose-a-de-la-guerra","José A. de la","Guerra","José A.","de la Guerra","Inicial va con el nombre"
145598,"juan-c-de-mingo","Juan C. de","Mingo","Juan C.","de Mingo","Inicial va con el nombre"
149178,"licia-f-de-carreri","Licia F. de","Carreri","Licia F.","de Carreri","Inicial va con el nombre"
158361,"lina-c-de-machinandiarena","Lina C. de","Machinandiarena","Lina C.","de Machinandiarena","Inicial va con el nombre"
116457,"ludovico-h-de-grandi","Ludovico H. De","Grandi","Ludovico H.","De Grandi","Inicial va con el nombre"
154659,"maria-l-p-de-suarez","María L. P. de","Suárez","María L. P.","de Suárez","Inicial va con el nombre"
150832,"maria-v-de-blasco","María V. de","Blasco","María V.","de Blasco","Inicial va con el nombre"
133988,"maria-v-de-celestini","María V. de","Celestini","María V.","de Celestini","Inicial va con el nombre"
149177,"marina-c-de-softe","Marina C. De","Softe","Marina C.","De Softe","Inicial va con el nombre"
138542,"matias-a-de-torres","Matías A. de","Torres","Matías A.","de Torres","Inicial va con el nombre"
144205,"mercedes-r-de-aguero","Mercedes R. de","Agüero","Mercedes R.","de Agüero","Inicial va con el nombre"
148768,"n-de-alarcon","N. de","Alarcón","N.","de Alarcón","Inicial va con el nombre"
138827,"p-de-senneville","P. de","Senneville","P.","de Senneville","Inicial va con el nombre"
154459,"rafael-j-de-rosas","Rafael J. de","Rosas","Rafael J.","de Rosas","Inicial va con el nombre"
147608,"ricardo-m-de-urgoiti","Ricardo M. de","Urgoití","Ricardo M.","de Urgoití","Inicial va con el nombre"
161991,"ruben-alberto-beto-de-la-torre","Rubén Alberto "Beto" de la","Torre","Rubén Alberto "Beto"","de la Torre","Reorganización con apodo"
107616,"s-de-la-vega","S. de la","Vega","S.","de la Vega","Inicial va con el nombre"
115384,"antonio-del-conde-el-cuate","Antonio del","Conde "El Cuate"","Antonio","del Conde "El Cuate"","Apodo debe ir con el nombre"
118536,"jesus-del-valle-gringa-bordon","Jesús del","Valle "Gringa" Bordón","Jesús","del Valle "Gringa" Bordón","Apodo debe ir con el nombre"