local_id,local_title,local_year,local_director,tmdb_id,tmdb_title,tmdb_year,tmdb_director,imdb_id,match_score,match_status,match_reason
193298,Limbo alucinante,2026, Tetsuo Lumière,1242038,Limbo Alucinante,2024,TETSUO LUMIERE,,100,auto_accept,Título exacto (100%); Director coincide; Producción Argentina; Duración similar (±0min)
9975,Nuestra tierra,2025,Lucrecia Martel,661603,Nuestra tierra,2026,Lucrecia Martel,tt9859510,115,auto_accept,Título exacto (100%); Año ±1; Director coincide; Producción Argentina; Duración similar (±0min)
9987,El príncipe de Nanawa,2025,Clarisa Navas,808224,El príncipe de Nanawa,2025,Clarisa Navas,tt30006845,125,auto_accept,Título exacto (100%); Año exacto; Director coincide; Producción Argentina; Duración similar (±2min)
10004,Suerte de pinos,2025,Lorena Muñoz,722389,Suerte de pinos,2025,Lorena Muñoz,tt35944841,125,auto_accept,Título exacto (100%); Año exacto; Director coincide; Producción Argentina; Duración similar (±2min)
10091,Reconquista,2025,Ariel Martínez Herrera,1414745,Reconquista: El diario de Scalabrini Ortiz,2025,Ariel Martínez Herrera,,85,auto_accept,Año exacto; Director coincide; Producción Argentina; Duración similar (±0min)
161003,Perros,2025,Gerardo Minutti,1297224,Perros,2025,Gerardo Minutti,tt33347851,125,auto_accept,Título exacto (100%); Año exacto; Director coincide; Producción Argentina; Duración similar (±2min)
163533,Delmira,2025,Daiana Rosenfeld,1561647,Delmira,,,,40,no_match,Título exacto (100%)
194284,Desbarrancada,2025,Guadalupe Yepes,1283965,DESBARRANCADA,2025,Guadalupe Yepes,,125,auto_accept,Título exacto (100%); Año exacto; Director coincide; Producción Argentina; Duración similar (±0min)
194764,La virgen de la tosquera,2025,Laura Casabé,862739,La virgen de la tosquera,2025,Laura Casabé,tt15460036,125,auto_accept,Título exacto (100%); Año exacto; Director coincide; Producción Argentina; Duración similar (±4min)
196332,Grasas saturadas,2025,Gerard Marcó de Mas,1381113,Grasas saturadas,2025,Gerard Marcó de Mas,tt16827008,105,auto_accept,Título exacto (100%); Año exacto; Director coincide; Duración similar (±1min)